step,actic loss,critic loss,average distance,time
1990,-3.5334,1.3291,5.0671,0min5sec
2000,-3.5162,1.3232,5.0626,0min5sec
2010,-3.4990,1.3174,5.0581,0min5sec
2020,-3.4820,1.3116,5.0537,0min5sec
2030,-3.4651,1.3060,5.0493,0min5sec
2040,-3.4484,1.3003,5.0449,0min5sec
2050,-3.4320,1.2948,5.0407,0min5sec
2060,-3.4156,1.2893,5.0364,0min5sec
2070,-3.3996,1.2838,5.0322,0min5sec
2080,-3.3836,1.2784,5.0280,0min5sec
2090,-3.3678,1.2730,5.0238,0min5sec
2100,-3.3521,1.2677,5.0198,0min5sec
2110,-3.3367,1.2625,5.0159,0min5sec
2120,-3.3213,1.2573,5.0120,0min5sec
2130,-3.3061,1.2521,5.0082,0min5sec
2140,-3.2909,1.2470,5.0043,0min5sec
2150,-3.2759,1.2420,5.0005,0min5sec
2160,-3.2612,1.2370,4.9967,0min5sec
2170,-3.2465,1.2320,4.9929,0min5sec
2180,-3.2319,1.2271,4.9891,0min5sec
2190,-3.2173,1.2223,4.9855,0min5sec
2200,-3.2029,1.2174,4.9818,0min5sec
2210,-3.1887,1.2126,4.9783,0min5sec
2220,-3.1747,1.2078,4.9745,0min5sec
2230,-3.1607,1.2031,4.9709,0min5sec
2240,-3.1469,1.1985,4.9674,0min5sec
2250,-3.1332,1.1938,4.9639,0min5sec
2260,-3.1196,1.1892,4.9603,0min5sec
2270,-3.1061,1.1847,4.9568,0min5sec
2280,-3.0927,1.1801,4.9532,0min5sec
2290,-3.0796,1.1757,4.9497,0min5sec
2300,-3.0665,1.1713,4.9464,0min5sec
2310,-3.0536,1.1669,4.9432,0min5sec
2320,-3.0407,1.1627,4.9401,0min5sec
2330,-3.0280,1.1584,4.9368,0min5sec
2340,-3.0152,1.1541,4.9335,0min5sec
2350,-3.0026,1.1498,4.9302,0min5sec
2360,-2.9901,1.1456,4.9270,0min5sec
2370,-2.9777,1.1415,4.9239,0min5sec
2380,-2.9655,1.1373,4.9207,0min5sec
2390,-2.9534,1.1332,4.9174,0min5sec
2400,-2.9413,1.1292,4.9143,0min5sec
2410,-2.9294,1.1251,4.9112,0min5sec
2420,-2.9176,1.1211,4.9081,0min5sec
2430,-2.9057,1.1172,4.9050,0min5sec
2440,-2.8940,1.1133,4.9020,0min5sec
2450,-2.8825,1.1094,4.8990,0min5sec
2460,-2.8710,1.1055,4.8959,0min5sec
2470,-2.8596,1.1016,4.8929,0min5sec
2480,-2.8483,1.0978,4.8899,0min5sec
2490,-2.8371,1.0940,4.8869,0min5sec
2500,-2.8260,1.0902,4.8839,0min5sec
2510,-2.8151,1.0865,4.8811,0min5sec
2520,-2.8042,1.0828,4.8782,0min5sec
2530,-2.7934,1.0791,4.8753,0min5sec
2540,-2.7826,1.0755,4.8726,0min5sec
2550,-2.7719,1.0720,4.8699,0min5sec
2560,-2.7614,1.0684,4.8671,0min5sec
2570,-2.7507,1.0648,4.8644,0min5sec
2580,-2.7403,1.0612,4.8617,0min5sec
2590,-2.7298,1.0577,4.8590,0min5sec
2600,-2.7197,1.0542,4.8563,0min5sec
2610,-2.7095,1.0508,4.8535,0min5sec
2620,-2.6995,1.0473,4.8510,0min5sec
2630,-2.6894,1.0440,4.8484,0min5sec
2640,-2.6794,1.0406,4.8458,0min5sec
2650,-2.6695,1.0372,4.8432,0min5sec
2660,-2.6595,1.0339,4.8406,0min5sec
2670,-2.6497,1.0306,4.8382,0min5sec
2680,-2.6401,1.0274,4.8357,0min5sec
2690,-2.6304,1.0242,4.8334,0min5sec
2700,-2.6209,1.0210,4.8309,0min5sec
2710,-2.6116,1.0179,4.8285,0min5sec
2720,-2.6021,1.0147,4.8262,0min5sec
2730,-2.5929,1.0116,4.8237,0min5sec
2740,-2.5836,1.0084,4.8213,0min5sec
2750,-2.5744,1.0053,4.8188,0min5sec
2760,-2.5654,1.0021,4.8164,0min5sec
2770,-2.5564,0.9991,4.8139,0min5sec
2780,-2.5477,0.9960,4.8116,0min5sec
2790,-2.5386,0.9930,4.8092,0min5sec
2800,-2.5298,0.9899,4.8067,0min5sec
2810,-2.5209,0.9869,4.8043,0min5sec
2820,-2.5124,0.9839,4.8021,0min5sec
2830,-2.5037,0.9810,4.7998,0min5sec
2840,-2.4952,0.9781,4.7975,0min5sec
2850,-2.4866,0.9751,4.7952,0min5sec
2860,-2.4782,0.9722,4.7929,0min5sec
2870,-2.4698,0.9693,4.7908,0min5sec
2880,-2.4613,0.9665,4.7886,0min5sec
2890,-2.4531,0.9636,4.7863,0min5sec
2900,-2.4450,0.9608,4.7840,0min5sec
2910,-2.4366,0.9579,4.7818,0min5sec
2920,-2.4286,0.9552,4.7796,0min5sec
2930,-2.4205,0.9524,4.7775,0min5sec
2940,-2.4123,0.9496,4.7754,0min5sec
2950,-2.4047,0.9469,4.7733,0min5sec
2960,-2.3967,0.9442,4.7712,0min5sec
2970,-2.3889,0.9416,4.7693,0min5sec
2980,-2.3811,0.9389,4.7672,0min5sec
2990,-2.3734,0.9362,4.7653,0min5sec
3000,-2.3657,0.9336,4.7632,0min5sec
3010,-2.3582,0.9309,4.7611,0min5sec
3020,-2.3505,0.9283,4.7591,0min5sec
3030,-2.3429,0.9257,4.7569,0min5sec
3040,-2.3354,0.9230,4.7549,0min5sec
3050,-2.3280,0.9205,4.7528,0min5sec
3060,-2.3205,0.9179,4.7508,0min5sec
3070,-2.3130,0.9153,4.7488,0min5sec
3080,-2.3058,0.9129,4.7470,0min5sec
3090,-2.2989,0.9105,4.7451,0min5sec
3100,-2.2917,0.9080,4.7431,0min5sec
3110,-2.2844,0.9055,4.7411,0min5sec
3120,-2.2773,0.9030,4.7392,0min5sec
3130,-2.2703,0.9006,4.7373,0min5sec
3140,-2.2632,0.8982,4.7353,0min5sec
3150,-2.2563,0.8957,4.7334,0min5sec
3160,-2.2493,0.8933,4.7314,0min5sec
3170,-2.2425,0.8910,4.7296,0min5sec
3180,-2.2356,0.8886,4.7277,0min5sec
3190,-2.2286,0.8862,4.7258,0min5sec
3200,-2.2219,0.8838,4.7240,0min5sec
3210,-2.2151,0.8815,4.7221,0min5sec
3220,-2.2084,0.8791,4.7202,0min5sec
3230,-2.2018,0.8768,4.7184,0min5sec
